,범죄 발생 합계,범죄 검거 합계,검거율(%),CCTV 총계,가로등 개수,소음진동 민원,소방서 개수,경찰서 개수,화재 발생 건수,1만대당 교통사고 발생,평균 실거래가,인구밀도,신축 동수,노후건물 수,버스 이용,지하철 이용,택시 이용,노선수,따릉이정류소,교량 연장(m),집객시설_수,관공서_수,은행_수,약국_수,지하철_역_수,버스_정거장_수,녹지 총 면적,미세먼지,초미세먼지,학원개수,마트,식당,카페,체육시설,도서관 개수,전시관 시설 개수
종로구,2981.0,3485.0,116.9070781616907,2339,7433,2200,7,24,201,155.2,46885.414203038345,6292,91,15977,57821751,75771163,8167055,6.656084656084656,100,677,2058,106,103,175,15,455,17469,58,52,309,902.0,4815.0,1226.0,41,9,930
중구,3348.0,2465.0,73.62604540023895,3118,8709,1223,6,18,137,134.7,53083.71479330161,13232,56,9239,39190006,100938579,9727454,7.451219512195122,90,899,2071,89,151,159,27,236,32525,62,51,168,1875.0,4844.0,990.0,32,8,570
용산구,3021.0,2268.0,75.07447864945382,3609,7560,3175,6,12,219,107.4,81220.43702725228,10386,85,25029,43905878,32335411,10790696,4.424242424242424,87,24280,1504,125,65,116,17,383,46079,0,46,262,723.0,3846.0,942.0,39,4,153
성동구,2023.0,1411.0,69.74789915966386,4638,6283,2574,5,11,199,75.8,63976.48917156325,16930,83,17561,31552270,56470250,8064905,3.663101604278075,94,11167,1693,65,54,144,19,485,42235,64,43,580,2139.0,3384.0,909.0,113,7,52
광진구,3424.0,2333.0,68.13668224299066,4636,5105,1374,4,13,193,61.4,49862.38397698935,20582,50,22130,29859594,56633974,9237922,5.632183908045977,86,15084,1602,48,49,162,11,331,47511,58,48,740,923.0,3672.0,819.0,115,8,53
동대문구,2957.0,2301.0,77.81535339871492,3846,8517,3437,6,14,158,131.7,39453.961120733795,25315,64,22516,57791744,31218408,8932560,5.550387596899225,86,2174,1987,62,50,198,15,378,56607,61,53,694,1928.0,3908.0,632.0,62,10,33
중랑구,3324.0,2474.0,74.42839951865223,5392,7668,3003,5,10,175,89.4,33708.87610512691,20948,85,23805,41568031,29571182,8154731,4.9523809523809526,96,3901,1840,54,30,175,15,403,52930,52,43,565,1068.0,3205.0,512.0,137,6,11
성북구,2411.0,1958.0,81.21111571961842,4906,5796,2775,5,16,246,85.9,40616.52731865991,17828,60,25463,67929727,37822410,7039123,4.73404255319149,81,16395,2380,81,51,184,14,669,52005,55,38,960,965.0,3363.0,736.0,161,13,77
강북구,2497.0,2142.0,85.78293952743292,3584,4379,1192,5,13,200,105.0,27428.941989075498,12414,100,32058,54255008,28068271,5932508,4.723076923076923,59,392,1843,59,25,162,11,508,37933,57,46,416,864.0,2822.0,460.0,148,7,22
도봉구,1921.0,1406.0,73.19104633003644,2808,5032,1153,5,10,179,48.9,26505.64090574374,14987,30,44591,37019485,25198610,5521781,3.896551724137931,75,1384,1432,58,27,116,8,481,55159,64,50,611,771.0,2181.0,373.0,101,10,23
노원구,3567.0,2607.0,73.08662741799832,4105,9510,1016,6,10,198,81.5,31445.387468300294,14191,24,99028,46165813,52909026,9665232,4.48974358974359,152,3587,2586,77,54,205,15,661,171543,52,41,1453,934.0,3144.0,613.0,232,10,34
은평구,3493.0,2678.0,76.6676209561981,5683,6581,2012,5,15,248,67.1,29697.29496662233,15849,68,30579,57517380,45319869,7579254,5.690402476780186,97,1193,2144,68,38,206,13,590,95284,55,44,1111,989.0,3414.0,663.0,58,8,29
